Dose (Bq/ml),Volume (cm³)
0.00,3962.89
655635.03,1715.74
1311270.06,1714.87
1966905.10,1619.93
2622540.13,1364.92
3278175.16,1072.33
3933810.19,840.81
4589445.22,663.94
5245080.25,527.86
5900715.29,423.50
6556350.32,341.64
7211985.35,276.68
7867620.38,224.83
8523255.41,182.29
9178890.45,147.59
9834525.48,118.92
10490160.51,95.41
11145795.54,76.20
11801430.57,60.61
12457065.61,48.09
13112700.64,38.02
13768335.67,29.82
14423970.70,23.34
15079605.73,18.23
15735240.76,14.22
16390875.80,11.09
17046510.83,8.85
17702145.86,7.08
18357780.89,5.83
19013415.92,4.75
19669050.96,4.03
20324685.99,3.42
20980321.02,2.86
21635956.05,2.32
22291591.08,2.02
22947226.12,1.73
23602861.15,1.45
24258496.18,1.15
24914131.21,0.98
25569766.24,0.88
26225401.27,0.75
26881036.31,0.62
27536671.34,0.47
28192306.37,0.47
28847941.40,0.47
29503576.43,0.47
30159211.47,0.47
30814846.50,0.47
31470481.53,0.47
32126116.56,0.47
32781751.59,0.47
33437386.63,0.47
34093021.66,0.46
34748656.69,0.44
35404291.72,0.42
36059926.75,0.41
36715561.78,0.39
37371196.82,0.36
38026831.85,0.34
38682466.88,0.32
39338101.91,0.30
39993736.94,0.28
40649371.98,0.27
41305007.01,0.25
41960642.04,0.24
42616277.07,0.24
43271912.10,0.23
43927547.14,0.23
44583182.17,0.23
45238817.20,0.23
45894452.23,0.23
46550087.26,0.23
47205722.29,0.23
47861357.33,0.22
48516992.36,0.22
49172627.39,0.21
49828262.42,0.20
50483897.45,0.19
51139532.49,0.18
51795167.52,0.17
52450802.55,0.16
53106437.58,0.15
53762072.61,0.13
54417707.64,0.12
55073342.68,0.11
55728977.71,0.10
56384612.74,0.09
57040247.77,0.08
57695882.80,0.07
58351517.84,0.06
59007152.87,0.05
59662787.90,0.04
60318422.93,0.04
60974057.96,0.03
61629693.00,0.02
62285328.03,0.02
62940963.06,0.02
63596598.09,0.01
64252233.12,0.01
